Kommune/Kreis;Bezeichnung;Zugehörigkeit Kreis;Anrede;Titel HVB;HVB/Vorname;HVB/Name;PPZ;Postfach;PLZ;Ort;Strasse;Telefon;Telefax;Internet;E-Mail;AGS;Reg-Bez
Lienen;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Arne Erwin;Strietelmeier;49530;Postfach 1264;49536;Lienen;Hauptstr. 14;05483/73960;05483/739659;www.lienen.de;info@lienen.de;05566044;Münster
Lindlar;kreisangehörige Gemeinde;Oberbergischer Kreis;Herrn;Bürgermeister;Dr. Georg;Ludwig;51779;Postfach 1120;51789;Lindlar;Borromäusstr. 1;02266/960;02266/8867;www.lindlar.de;info@gemeinde-lindlar.de;05374020;Köln
Linnich;kreisangehörige Stadt;Düren;Frau;Bürgermeisterin;Marion Christine;Schunck-Zenker;52438;Postfach 1227;52441;Linnich;Rurdorfer Str. 64;02462/99080;02462/9908900;www.linnich.de;mail@linnich.de;05358036;Köln
Lippetal;kreisangehörige Gemeinde;Soest;Herrn;Bürgermeister;Matthias;Lürbke;;;59510;Lippetal;Bahnhofstr. 7;02923/9800;02923/980232;www.lippetal.de;post@lippetal.de;05974024;Arnsberg
Lippstadt;Große kreisangehörige Stadt;Soest;Herrn;Bürgermeister;Christof;Sommer;59535;Postfach 2540;59555;Lippstadt;Ostwall 1;02941/9800;02941/78111;www.lippstadt.de;post@stadt-lippstadt.de;05974028;Arnsberg
Lohmar;Mittlere kreisangehörige Stadt;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Horst;Krybus;53785;Postfach 1209;53797;Lohmar;Rathausstr. 4;02246/150;02246/15200;www.lohmar.de;rathaus@lohmar.de;05382028;Köln
Löhne;Mittlere kreisangehörige Stadt;Herford;Herrn;Bürgermeister;Bernd;Poggemöller;32557;Postfach 1455;32584;Löhne;Oeynhausener Str. 41;05732/1000;05732/100309;www.loehne.de;info@loehne.de;05758024;Detmold
Lotte;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Rainer;Lammers;49498;Postfach 1162;49504;Lotte;Westerkappelner Str. 19;05404/8890;05404/88950;www.lotte.de;info@lotte.de;05566048;Münster
Lübbecke;Mittlere kreisangehörige Stadt;Minden-Lübbecke;Herrn;Bürgermeister;Frank;Haberbosch;32294;Postfach 1453;32312;Lübbecke;Kreishausstr. 4;05741/2760;05741/90561;www.luebbecke.de;info@luebbecke.de;05770020;Detmold
Märkischer Kreis;Kreis;;Herrn;Landrat;Thomas;Gemke;58505;Postfach 2080;58509;Lüdenscheid;Heedfelder Str. 45;02351/96660;02351/6866;www.maerkischer-kreis.de;zentrale-dienste@maerkischer-kreis.de;05962000;Arnsberg
Lüdenscheid;Große kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Dieter;Dzewas;58505;Postfach 2740;58507;Lüdenscheid;Rathausplatz 2;02351/170;02351/171700;www.luedenscheid.de;post@luedenscheid.de;05962032;Arnsberg
Lüdinghausen;kreisangehörige Stadt;Coesfeld;Herrn;Bürgermeister;Richard;Borgmann;59335;Postfach 1531;59348;Lüdinghausen;Borg 2;02591/9260;02591/926177;www.luedinghausen.de;verwaltung@stadt-luedinghausen.de;05558024;Münster
Lügde;kreisangehörige Stadt;Lippe;Herrn;Bürgermeister;Heinz;Reker;32670;Postfach 1352;32676;Lügde;Am Markt 1;05281/77080;05281/79645;www.luegde.de;info@luegde.de;05766052;Detmold
Lünen;Große kreisangehörige Stadt;Unna;Herrn;Bürgermeister;Jürgen;Kleine-Frauns;44510;Postfach 2030/2040;44532;Lünen;Willy-Brand-Platz 1;02306/1040;02306/1041460;www.luenen.de;info@luenen.de;05978024;Arnsberg
Marienheide;kreisangehörige Gemeinde;Oberbergischer Kreis;Herrn;Bürgermeister;Stefan;Meisenberg;51704;Postfach 1220;51709;Marienheide;Hauptstr. 20;02264/40440;02264/4044261;www.marienheide.de;info@gemeinde-marienheide.de;05374024;Köln
Marienmünster;kreisangehörige Stadt;Höxter;Herrn;Bürgermeister;Robert;Klocke;37692;Postfach 1154;37696;Marienmünster;Schulstr. 1;05276/98980;05276/989890;www.marienmuenster.de;info@marienmuenster.de;05762024;Detmold
Marl;Große kreisangehörige Stadt;Recklinghausen;Herrn;Bürgermeister;Werner;Arndt;;;45768;Marl;Creiler Platz 1;02365/990;02365/992740;www.marl.de;info@marl.de;05562024;Münster
Marsberg;kreisangehörige Stadt;Hochsauerland;Herrn;Bürgermeister;Klaus;Hülsenbeck;34419;Postfach 1341;34431;Marsberg;Lillers-Str. 8;02992/6021;02992/602202;www.marsberg.de;info@marsberg.de;05958024;Arnsberg
Mechernich;Mittlere kreisangehörige Stadt;Euskirchen;Herrn;Bürgermeister;Dr. Hans-Peter;Schick;53887;Postfach 1265;53894;Mechernich;Bergstr. 1;02443/490;02443/49199;www.mechernich.de;info@mechernich.de;05366028;Köln
Meckenheim;Mittlere kreisangehörige Stadt;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Bert;Spilles;53333;Postfach 1180;53340;Meckenheim;Bahnhofstr. 22;02225/9170;02225/917100;www.meckenheim.de;stadt.meckenheim@meckenheim.de;05382032;Köln
Medebach;kreisangehörige Stadt;Hochsauerland;Herrn;Bürgermeister;Thomas;Grosche;59961;Postfach 1360;59964;Medebach;Österstraße 1;02982/4000;02982/40033;www.medebach.de;post@medebach.de;05958028;Arnsberg
Meerbusch;Mittlere kreisangehörige Stadt;Rhein-Kreis Neuss;Frau;Bürgermeisterin;Angelika;Mielke-Westerlage;40641;Postfach 1664;40667;Meerbusch;Moerser Str. 28;02132/9160;02132/916320;www.meerbusch.de;service@meerbusch.de;05162022;Düsseldorf
Meinerzhagen;kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Jan;Nesselrath;58531;Postfach 1563;58540;Meinerzhagen;Bahnhofstr. 9-13;02354/770;02354/77220;www.meinerzhagen.de;post@meinerzhagen.de;05962036;Arnsberg
Menden (Sauerland);Mittlere kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Martin;Wächter;58688;Postfach 660;58706;Menden (Sauerland);Neumarkt 5;02373/9030;02373/903386;www.menden.de;info@menden.de;05962040;Arnsberg
Merzenich;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Georg;Gelhausen;;;52399;Merzenich;Valdersweg 1;02421/3990;02421/399299;www.gemeinde-merzenich.de;buergermeister@gemeinde-merzenich.de;05358040;Köln
Hochsauerlandkreis;Kreis;;Herrn;Landrat;Dr. Karl;Schneider;;;59872;Meschede;Steinstr. 27;0291/940;0291/941140;www.hochsauerlandkreis.de;post@hochsauerlandkreis.de;05958000;Arnsberg
Meschede;Mittlere kreisangehörige Stadt;Hochsauerland;Herrn;Bürgermeister;Christoph;Weber;;;59872;Meschede;Franz-Stahlmecke-Platz 2;0291/2050;0291/205300;www.meschede.de;post@meschede.de;05958032;Arnsberg
Metelen;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Gregor;Krabbe;48625;Postfach 1160;48629;Metelen;Sendplatz 18;02556/890;02556/8944;www.metelen.de;info@metelen.de;05566052;Münster
Mettingen;kreisangehörige Gemeinde;Steinfurt;Frau;Bürgermeisterin;Christina;Rählmann;49493;Postfach 1160;49497;Mettingen;Markt 6-8;05452/520;05452/5218;www.mettingen.de;info@mettingen.de;05566056;Münster
Mettmann;Kreis;;Herrn;Landrat;Thomas;Hendele;40806;Postfach 100607;40822;Mettmann;Düsseldorfer Str. 26;02104/990;02104/994444;www.kreis-mettmann.de;kme@kreis-mettmann.de;05158000;Düsseldorf
Mettmann;Mittlere kreisangehörige Stadt;Mettmann;Herrn;Bürgermeister;Thomas Gerd;Dinkelmann;40813;Postfach 300158;40822;Mettmann;Neanderstr. 85;02104/9800;02104/980169;www.mettmann.de;buergermeister@mettmann.de;05158024;Düsseldorf
Minden-Lübbecke;Kreis;;Herrn;Landrat;Dr. Ralf;Niermann;32382;Postfach 2580;32423;Minden;Portastr. 13;0571/8070;0571/8072700;www.minden-luebbecke.de;info@minden-luebbecke.de;05770000;Detmold
Minden;Große kreisangehörige Stadt;Minden-Lübbecke;Herrn;Bürgermeister;Michael;Jäcke;32387;Postfach 3080;32423;Minden;Kleiner Domhof 17;0571/890;0571/89401;www.minden.de;info@Minden.de;05770024;Detmold
Moers;Große kreisangehörige Stadt;Wesel;Herrn;Bürgermeister;Christoph;Fleischhauer;47411;Postfach 102120;47441;Moers;Meerstr. 2;02841/2010;02841/201888;www.moers.de;info@moers.de;05170024;Düsseldorf
Möhnesee;kreisangehörige Gemeinde;Soest;Herrn;Bürgermeister;Hans;Dicke;59515;Postfach 47;59519;Möhnesee;Hauptstr. 19;02924/9810;02924/981141;www.moehnesee.de;gemeinde@moehnesee.de;05974032;Arnsberg
Mönchengladbach;kreisfreie Stadt;;Herrn;Oberbürgermeister;Hans Wilhelm;Reiners;;;41061;Mönchengladbach;Weiherstraße 21;02161/250;02161/252579;www.moenchengladbach.de;post@moenchengladbach.de;05116000;Düsseldorf
Monheim am Rhein;Mittlere kreisangehörige Stadt;Mettmann;Herrn;Bürgermeister;Daniel;Zimmermann;40770;Postfach 100661;40789;Monheim;Rathausplatz 2;02173/9519;02173/951899;www.monheim.de;info@monheim.de;05158026;Düsseldorf
Monschau;kreisangehörige Stadt;Städteregion Aachen;Frau;Bürgermeisterin;Margareta;Ritter;52153;Postfach 80;52156;Monschau;Laufenstr. 84;02472/811;02472/81220;www.monschau.de;stadtverwaltung@monschau.de;05334020;Köln
Morsbach;kreisangehörige Gemeinde;Oberbergischer Kreis;Herrn;Bürgermeister;Jörg;Bukowski;51589;Postfach 1153;51597;Morsbach;Bahnhofstr. 2;02294/6990;02294/699187;www.morsbach.de;rathaus@gemeinde-morsbach.de;05374028;Köln
Much;kreisangehörige Gemeinde;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Norbert;Büscher;53798;Postfach 1120;53804;Much;Hauptstr. 57;02245/680;02245/6850;www.much.de;buergerhotline@much.de;05382036;Köln
Mülheim an der Ruhr;kreisfreie Stadt;;Herrn;Oberbürgermeister;Ulrich;Scholten;;;45468;Mülheim an der Ruhr;Am Rathaus 1;0208/4550;0208/4559999;www.muelheim-ruhr.de;info@muelheim-ruhr.de;05117000;Düsseldorf
Münster;kreisfreie Stadt;;Herrn;Oberbürgermeister;Markus;Lewe;;;48127;Münster;Klemensstraße 10;0251/4920;0251/4927700;www.muenster.de;stadtverwaltung@stadt-muenster.de;05515000;Münster
Nachrodt-Wiblingwerde;kreisangehörige Gemeinde;Märkischer Kreis;Frau;Bürgermeisterin;Birgit;Tupat;58766;Postfach 1103;58769;Nachrodt-Wiblingwerde;Hagener Str. 76;02352/93830;02352/938350;www.nachrodt-wiblingwerde.de;post@nachrodt-wiblingwerde.de;05962044;Arnsberg
Netphen;Mittlere kreisangehörige Stadt;Siegen-Wittgenstein;Herrn;Bürgermeister;Paul Otto;Wagener;57235;Postfach 1155;57250;Netphen;Amtsstr. 2;02738/6030;02738/603125;www.netphen.de;stadt@netphen.de;05970032;Arnsberg
Nettersheim;kreisangehörige Gemeinde;Euskirchen;Herrn;Bürgermeister;Wilfried;Pracht;;;53947;Nettersheim;Krausstr. 2;02486/780;02486/7878;www.nettersheim.de;buergermeister@nettersheim.de;05366032;Köln
Nettetal;Mittlere kreisangehörige Stadt;Viersen;Herrn;Bürgermeister;Christian;Wagner;41304;Postfach 1462;41334;Nettetal;Doerkesplatz 11;02153/8980;02153/898898;www.nettetal.de;stadtnettetal@nettetal.de;05166016;Düsseldorf
Neuenkirchen;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Franz;Möllering;48481;Postfach 5;48485;Neuenkirchen;Hauptstr. 16;05973/9260;05973/92680;www.neuenkirchen.de;gemeinde@neuenkirchen.de;05566060;Münster
Neuenrade;kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Antonius;Wiesemann;58805;Postfach 1340;58809;Neuenrade;Alte Burg 1;02392/6930;02392/69348;www.neuenrade.de;post@neuenrade.de;05962048;Arnsberg
Neukirchen-Vluyn;Mittlere kreisangehörige Stadt;Wesel;Herrn;Bürgermeister;Harald;Lenßen;;;47506;Neukirchen-Vluyn;Hans-Böckler-Str. 26;02845/3910;02845/391100;www.neukirchen-vluyn.de;info@neukirchen-vluyn.de;05170028;Düsseldorf
Neunkirchen;kreisangehörige Gemeinde;Siegen-Wittgenstein;Herrn;Bürgermeister;Bernhard;Baumann;57274;Postfach 1360;57290;Neunkirchen;Bahnhofstr. 3;02735/7670;02735/5342;www.neunkirchen-siegerland.de;info@neunkirchen-siegerland.de;05970036;Arnsberg
Neunkirchen-Seelscheid;kreisangehörige Gemeinde;Rhein-Sieg-Kreis;Frau;Bürgermeisterin;Nicole;Sander;53810;Postfach 1120;53819;Neunkirchen-Seelscheid;Hauptstr. 78;02247/3030;02247/30370;www.neunkirchen-seelscheid.de;gemeinde@neunkirchen-seelscheid.de;05382040;Köln
Neuss;Große kreisangehörige Stadt;Rhein-Kreis Neuss;Herrn;Bürgermeister;Reiner Dieter;Breuer;;;41460;Neuss;Markt 2;02131/9001;02131/902488;www.neuss.de;stadtverwaltung@neuss.de;05162024;Düsseldorf
Rhein-Kreis Neuss;Kreis;;Herrn;Landrat;Hans-Jürgen;Petrauschke;;;41460;Neuss;Oberstraße 91;02181/6010;02181/6012330;www.rhein-kreis-neuss.de;info@rhein-kreis-neuss.de;05162000;Düsseldorf
Nideggen;kreisangehörige Stadt;Düren;Herrn;Bürgermeister;Marco;Schmunkamp;52383;Postfach 61;52385;Nideggen;Zülpicher Str. 1;02427/8090;02427/80947;www.nideggen.de;buergermeisterin@nideggen.de;05358044;Köln
Niederkassel;Mittlere kreisangehörige Stadt;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Stephan;Vehreschild;53853;Postfach 1220;53859;Niederkassel;Rathausstr. 19;02208/94660;02208/946629;www.niederkassel.de;rathaus@niederkassel.de;05382044;Köln
Niederkrüchten;kreisangehörige Gemeinde;Viersen;Herrn;Bürgermeister;Karl-Heinz;Wassong;41367;Postfach 1180;41372;Niederkrüchten;Laurentiusstr. 19;02163/9800;02163/980111;www.niederkruechten.de;info@niederkruechten.de;05166020;Düsseldorf
Niederzier;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Hermann;Heuser;52380;Postfach 1120;52382;Niederzier;Rathausstr. 8;02428/840;02428/84150;www.niederzier.de;gemeinde@niederzier.de;05358048;Köln
Nieheim;kreisangehörige Stadt;Höxter;Herrn;Bürgermeister;Rainer;Vidal Garcia;33035;Postfach 1163;33039;Nieheim;Marktstr. 28;05274/9820;05274/982200;www.nieheim.de;info@nieheim.de;05762028;Detmold
Nordkirchen;kreisangehörige Gemeinde;Coesfeld;Herrn;Bürgermeister;Dietmar;Bergmann;59389;Postfach 1280;59394;Nordkirchen;Bohlenstr. 2;02596/9170;02596/917139;www.nordkirchen.de;gemeinde@nordkirchen.de;05558028;Münster
Nordwalde;kreisangehörige Gemeinde;Steinfurt;Frau;Bürgermeisterin;Sonja;Schemmann;48352;Postfach 1153;48356;Nordwalde;Bahnhofstr. 2;02573/9290;02573/929150;www.nordwalde.de;gemeinde@nordwalde.de;05566064;Münster
Nörvenich;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Dr. Timo;Czech;52386;Postfach 9;52388;Nörvenich;Bahnhofstr. 25;02426/1010;02426/10137;www.noervenich.de;info@noervenich.de;05358052;Köln
Nottuln;kreisangehörige Gemeinde;Coesfeld;Frau;Bürgermeisterin;Manuela;Mahnke;48292;Postfach 1140;48301;Nottuln;Stiftsplatz 7-8;02502/9420;02502/942222;www.nottuln.de;info@nottuln.de;05558032;Münster
Nümbrecht;kreisangehörige Gemeinde;Oberbergischer Kreis;Herrn;Bürgermeister;Hilko;Redenius;51581;Postfach 1120;51588;Nümbrecht;Hauptstr. 16;02293/3020;02293/2901;www.nuembrecht.de;gemeinde.nuembrecht@nuembrecht.de;05374032;Köln
Oberhausen;kreisfreie Stadt;;Herrn;Oberbürgermeister;Daniel;Schranz;46015;Postfach 101505;46045;Oberhausen;Schwartzstr. 72;0208/8251;0208/8252755;www.oberhausen.de;info@oberhausen.de;05119000;Düsseldorf
Ochtrup;kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;Kai;Hutzenlaub;48602;Postfach 1364;48607;Ochtrup;Prof.-Gärtner-Str. 10;02553/730;02553/73-200;www.ochtrup.de;post@ochtrup.de;05566068;Münster
Odenthal;kreisangehörige Gemeinde;Rheinisch-Bergischer Kreis;Herrn;Bürgermeister;Robert;Lennerts;51516;Postfach 1131;51519;Odenthal;Altenberger-Dom-Str. 29-31;02202/7100;02202/78777;www.odenthal.de;post@odenthal.de;05378020;Köln
Oelde;Mittlere kreisangehörige Stadt;Warendorf;Herrn;Bürgermeister;Karl-Friedrich;Knop;59285;Postfach 3640;59302;Oelde;Ratsstiege 1;02522/720;02522/72460;www.oelde.de;online@oelde.de;05570028;Münster
Oer-Erkenschwick;Mittlere kreisangehörige Stadt;Recklinghausen;Herrn;Bürgermeister;Carsten;Wewers;45734;Postfach 1340;45739;Oer-Erkenschwick;Rathausplatz 1;02368/6910;02368/691298;www.Oer-Erkenschwick.de;rathaus@Oer-Erkenschwick.de;05562028;Münster
Oerlinghausen;kreisangehörige Stadt;Lippe;Herrn;Bürgermeister;Dirk;Becker;33806;Postfach 1344;33813;Oerlinghausen;Hauptstr. 14a;05202/4930;05202/49393;www.oerlinghausen.de;info@oerlinghausen.de;05766056;Detmold
Olfen;kreisangehörige Stadt;Coesfeld;Herrn;Bürgermeister;Wilhelm;Sendermann;59396;Postfach 135;59399;Olfen;Kirchstr. 5;02595/389-0;02595/389-292;www.olfen.de;info@olfen.de;05558036;Münster
Olpe;Kreis;;Herrn;Landrat;Frank Werner;Beckehoff;57445;Postfach 1560;57462;Olpe;Danziger Str. 2;02761/810;02761/81343;www.kreis-olpe.de;info@kreis-olpe.de;05966000;Arnsberg
Olpe;Mittlere kreisangehörige Stadt;Olpe;Herrn;Bürgermeister;Peter;Weber;57449;Postfach 1920;57462;Olpe;Franziskanerstr. 6;02761/830;02761/831330;www.olpe.de;rathaus@olpe.de;05966024;Arnsberg
Olsberg;kreisangehörige Stadt;Hochsauerland;Herrn;Bürgermeister;Wolfgang;Fischer;59933;Postfach 1462;59939;Olsberg;Bigger Platz 6;02962/9820;02962/982226;www.olsberg.de;post@olsberg.de;05958036;Arnsberg
Ostbevern;kreisangehörige Gemeinde;Warendorf;Herrn;Bürgermeister;Wolfgang Alois;Annen;48342;Postfach 1165;48346;Ostbevern;Hauptstr. 24;02532/820;02532/8246;www.ostbevern.de;gemeinde@ostbevern.de;05570032;Münster
Overath;Mittlere kreisangehörige Stadt;Rheinisch-Bergischer Kreis;Herrn;Bürgermeister;Jörg;Weigt;51484;Postfach 1380;51491;Overath;Hauptstr. 25;02206/6020;02206/602193;www.overath.de;post@overath.de;05378024;Köln
Paderborn;Kreis;;Herrn;Landrat;Manfred;Müller;33049;Postfach 1940;33102;Paderborn;Aldegreverstraße 10-14;05251/3080;05251/308444;www.kreis-paderborn.de;info@kreis-paderborn.de;05774000;Detmold
Paderborn;Große kreisangehörige Stadt;Paderborn;Herrn;Bürgermeister;Michael;Dreier;;;33098;Paderborn;Am Abdinghof 11;05251/88-0;05251/88-2000;www.paderborn.de;info@paderborn.de;05774032;Detmold
Petershagen;Mittlere kreisangehörige Stadt;Minden-Lübbecke;Herrn;Bürgermeister;Dieter;Blume;32458;Postfach 1120;32469;Petershagen;Bahnhofstr. 63;05702/8220;05702/822298;www.petershagen.de;info@petershagen.de;05770028;Detmold
Plettenberg;Mittlere kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Ulrich;Schulte;58815;Postfach 1560 /1580;58840;Plettenberg;Grüne Str. 12;02391/9230;02391/923128;www.plettenberg.de;post@plettenberg.de;05962052;Arnsberg
Porta Westfalica;Mittlere kreisangehörige Stadt;Minden-Lübbecke;Herrn;Bürgermeister;Bernd;Hedtmann;32440;Postfach 1463;32457;Porta Westfalica;Kempstr. 1;0571/7910;0571/791277;www.portawestfalica.de;info@portawestfalica.de;05770032;Detmold
Preußisch Oldendorf;kreisangehörige Stadt;Minden-Lübbecke;Herrn;Bürgermeister;Marko;Steiner;32353;Postfach 1260;32361;Preußisch Oldendorf;Rathausstr. 3+5;05742/93110;05742/5680;www.preussischoldendorf.de;info@preussischoldendorf.de;05770036;Detmold
Pulheim;Mittlere kreisangehörige Stadt;Rhein-Erft-Kreis;Herrn;Bürgermeister;Frank;Keppeler;50241;Postfach 1345;50259;Pulheim;Alte Kölner Str. 26;02238/808-0;02238/808345;www.pulheim.de;stadtpulheim@pulheim.de;05362036;Köln
Radevormwald;Mittlere kreisangehörige Stadt;Oberbergischer Kreis;Herrn;Bürgermeister;Johannes;Mans;42465;Postfach 1640;42477;Radevormwald;Hohenfuhrstr. 13;02195/6060;02195/606116;www.radevormwald.net;stadt@radevormwald.de;05374036;Köln
Raesfeld;kreisangehörige Gemeinde;Borken;Herrn;Bürgermeister;Andreas;Grotendorst;46343;Postfach 1140;46348;Raesfeld;Weseler Str. 19;02865/9550;02865/955199;www.raesfeld.de;rathaus@raesfeld.de;05554040;Münster
Rahden (Westf.);kreisangehörige Stadt;Minden-Lübbecke;Herrn;Bürgermeister;Dr. Bert;Honsel;32362;Postfach 129;32369;Rahden (Westf.);Lange Str. 9;05771/730;05771/7350;www.rahden.de;info@rahden.de;05770040;Detmold
Ratingen;Große kreisangehörige Stadt;Mettmann;Herrn;Bürgermeister;Klaus Konrad;Pesch;40837;Postfach 101740;40878;Ratingen;Minoritenstr. 2-6;02102/5500;02102/5509250;www.ratingen.de;stadt@ratingen.de;05158028;Düsseldorf
Recke;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Eckhard;Kellermeier;49506;Postfach 1252;49509;Recke;Hauptstr. 28;05453/9100;05453/91011;www.recke.de;info@recke.de;05566072;Münster
Recklinghausen;Kreis;;Herrn;Landrat;Cay;Süberkrüb;;;45657;Recklinghausen;Kurt-Schumacher-Allee 1;02361/530;02361/533291;www.kreis-recklinghausen.de;info@kreis-recklinghausen.de;05562000;Münster
Recklinghausen;Große kreisangehörige Stadt;Recklinghausen;Herrn;Bürgermeister;Christoph;Tesche;45617;Postfach 101765;45657;Recklinghausen;Rathausplatz 3-4;02361/500;02361/501234;www.recklinghausen.de;stadtverwaltung@recklinghausen.de;05562032;Münster
Rees;kreisangehörige Stadt;Kleve;Herrn;Bürgermeister;Christoph;Gerwers;46452;Postfach 1362;46459;Rees;Markt 1;02851/510;02851/5125;www.stadt-rees.de;info@stadt-rees.de;05154044;Düsseldorf
Reichshof;kreisangehörige Gemeinde;Oberbergischer Kreis;Herrn;Bürgermeister;Rüdiger;Gennies;51571;Postfach 1160;51580;Reichshof;Hauptstr. 12;02296/8010;02296/801395;www.reichshof.de;info@reichshof.de;05374040;Köln
Reken;kreisangehörige Gemeinde;Borken;Herrn;Bürgermeister;Manuel;Deitert;48728;Postfach 1151;48734;Reken;Kirchstr. 14;02864/94401;02864/944299;www.reken.de;info@reken.de;05554044;Münster
Remscheid;kreisfreie Stadt;;Herrn;Oberbürgermeister;Burkhard;Mast-Weisz;;;42853;Remscheid;Theodor-Heuss-Platz 1;02191/1600;02191/162748;www.remscheid.de;remscheid@str.de;05120000;Düsseldorf
Rheda-Wiedenbrück;Mittlere kreisangehörige Stadt;Gütersloh;Herrn;Bürgermeister;Theo;Mettenborg;33375;Postfach 2309;33378;Rheda-Wiedenbrück;Rathausplatz 13;05242/9630;05242/963222;www.rheda-wiedenbrueck.de;rheda-wiedenbrueck@gt-net.de;05754028;Detmold
Rhede;kreisangehörige Stadt;Borken;Herrn;Bürgermeister;Jürgen;Bernsmann;46406;Postfach 64;46414;Rhede;Rathausplatz 9;02872/9300;02872/930450;www.rhede.de;info@rhede.de;05554048;Münster
Rheinbach;Mittlere kreisangehörige Stadt;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Stefan;Raetz;53348;Postfach 1128;53359;Rheinbach;Schweigelstr. 23;02226/9170;02226/917117;www.rheinbach.de;infothek@stadt-rheinbach.de;05382048;Köln
Rheinberg;Mittlere kreisangehörige Stadt;Wesel;Herrn;Bürgermeister;Frank;Tatzel;47479;Postfach 101463;47495;Rheinberg;Kirchplatz 10;02843/1710;02843/171480;www.rheinberg.de;stadtverwaltung@rheinberg.de;05170032;Düsseldorf
Rheine;Große kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;Dr. Peter;Lüttmann;48410;Postfach 2063;48431;Rheine;Klosterstr. 14;05971/9390;05971/939233;www.rheine.de;stadt@rheine.de;05566076;Münster
Rheurdt;kreisangehörige Gemeinde;Kleve;Herrn;Bürgermeister;Klaus;Kleinenkuhnen;47507;Postfach 1120;47509;Rheurdt;Rathausstr. 35;02845/96330;02845/963313;www.rheurdt.de;info@rheurdt.de;05154048;Düsseldorf
Rietberg;Mittlere kreisangehörige Stadt;Gütersloh;Herrn;Bürgermeister;Andreas;Sunder;33393;Postfach 2364;33397;Rietberg;Rügenstr. 1;05244/9860;05244/986400;www.rietberg.de;info@stadt-rietberg.de;05754032;Detmold
Rödinghausen;kreisangehörige Gemeinde;Herford;Herrn;Bürgermeister;Ernst-Wilhelm;Vortmeyer;32285;Postfach 3110;32289;Rödinghausen;Heerstr. 2;05746/9480;05746/948105;www.roedinghausen.de;info@roedinghausen.de;05758028;Detmold
Roetgen;kreisangehörige Gemeinde;Städteregion Aachen;Herrn;Bürgermeister;Jorma;Klauss;52157;Postfach 1152;52159;Roetgen;Hauptstr. 55;02471/180;02471/1889;www.roetgen.de;gemeinde@roetgen.de;05334024;Köln
Rommerskirchen;kreisangehörige Gemeinde;Rhein-Kreis Neuss;Herrn;Bürgermeister;Martin Peter;Mertens;41565;Postfach 101160;41569;Rommerskirchen;Bahnstr. 51;02183/8000;02183/80027;www.rommerskirchen.de;info@rommerskirchen.de;05162028;Düsseldorf
Rosendahl;kreisangehörige Gemeinde;Coesfeld;Herrn;Bürgermeister;Christoph;Gottheil;48713;Postfach 1109;48720;Rosendahl;Hauptstr. 30;02547/770;02547/77199;www.rosendahl.de;info@rosendahl.de;05558040;Münster
Rösrath;Mittlere kreisangehörige Stadt;Rheinisch-Bergischer Kreis;Herrn;Bürgermeister;Marcus Maria;Mombauer;51492;Postfach 1120;51503;Rösrath;Hauptstr. 229;02205/8020;02205/802131;www.roesrath.de;infoStadt@roesrath.de;05378028;Köln
Ruppichteroth;kreisangehörige Gemeinde;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Mario;Loskill;;;53809;Ruppichteroth;Rathausstr. 18;02295/490;02295/4939;www.ruppichteroth.de;rathaus@ruppichteroth.de;05382052;Köln
Rüthen;kreisangehörige Stadt;Soest;Herrn;Bürgermeister;Peter Josef;Weiken;59598;Postfach 1026;59602;Rüthen;Hochstr. 14;02952/8180;02952/818170;www.ruethen.de;post@ruethen.de;05974036;Arnsberg
Saerbeck;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Wilfried;Roos;48367;Postfach 53;48369;Saerbeck;Ferriéres-Str. 11;02574/890;02574/8950;www.saerbeck.de;info@saerbeck.de;05566080;Münster
Salzkotten;kreisangehörige Stadt;Paderborn;Herrn;Bürgermeister;Ulrich;Berger;33146;Postfach 1562;33154;Salzkotten;Marktstr. 8;05258/5070;05258/50727;www.salzkotten.de;stadtverwaltung@salzkotten.de;05774036;Detmold
